year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,MN,27053,Hennepin,38890,25783,5034,12.94,19354,10102,9434,49.77,25.98,34900,2702,1259,29,0,89.74,6.95,3.24,23530,1500,731,22,0,91.26,5.82,2.84,national
2025,MN,27037,Dakota,15762,10299,2268,14.39,7646,4171,3945,48.51,26.46,13513,1357,880,12,0,85.73,8.61,5.58,8977,762,549,11,0,87.16,7.4,5.33,national
2025,MN,27123,Ramsey,14298,9342,1961,13.72,7232,3606,3460,50.58,25.22,12437,1272,563,26,0,86.98,8.9,3.94,8306,712,307,17,0,88.91,7.62,3.29,national
2025,MN,27003,Anoka,13554,8713,2066,15.24,6276,3806,3472,46.3,28.08,11307,1452,787,8,0,83.42,10.71,5.81,7375,852,480,6,0,84.64,9.78,5.51,national
2025,MN,27163,Washington,11058,7386,1432,12.95,5475,2749,2834,49.51,24.86,9611,816,616,15,0,86.91,7.38,5.57,6494,493,386,13,0,87.92,6.67,5.23,national
2025,MN,27171,Wright,6746,4545,864,12.81,3456,1887,1403,51.23,27.97,5339,895,473,39,0,79.14,13.27,7.01,3660,555,301,29,0,80.53,12.21,6.62,national
2025,MN,27137,St. Louis,6239,4132,797,12.77,3010,1919,1310,48.24,30.76,5206,560,449,24,0,83.44,8.98,7.2,3564,304,247,17,0,86.25,7.36,5.98,national
2025,MN,27139,Scott,5773,3863,781,13.53,2698,1563,1512,46.73,27.07,5010,453,302,8,0,86.78,7.85,5.23,3397,272,187,7,0,87.94,7.04,4.84,national
2025,MN,27109,Olmsted,5179,3562,620,11.97,2655,1342,1182,51.26,25.91,4566,348,261,4,0,88.16,6.72,5.04,3190,219,150,3,0,89.56,6.15,4.21,national
2025,MN,27145,Stearns,4545,3149,525,11.55,2324,1400,821,51.13,30.8,3572,550,407,16,0,78.59,12.1,8.95,2557,328,250,14,0,81.2,10.42,7.94,national
2025,MN,27019,Carver,4469,3090,513,11.48,2171,1203,1095,48.58,26.92,4008,277,174,10,0,89.68,6.2,3.89,2790,170,125,5,0,90.29,5.5,4.05,national
2025,MN,27141,Sherburne,4179,2780,563,13.47,1833,1339,1007,43.86,32.04,3201,600,346,32,0,76.6,14.36,8.28,2203,351,200,26,0,79.24,12.63,7.19,national
2025,MN,27035,Crow Wing,2653,1786,346,13.04,1282,867,504,48.32,32.68,2169,262,201,21,0,81.76,9.88,7.58,1507,142,122,15,0,84.38,7.95,6.83,national
2025,MN,27025,Chisago,2464,1567,360,14.61,1013,775,676,41.11,31.45,1969,287,189,19,0,79.91,11.65,7.67,1270,168,114,15,0,81.05,10.72,7.28,national
2025,MN,27027,Clay,2245,1552,280,12.47,1107,629,509,49.31,28.02,1825,247,166,7,0,81.29,11.0,7.39,1290,154,103,5,0,83.12,9.92,6.64,national
2025,MN,27131,Rice,1826,1295,219,11.99,883,528,415,48.36,28.92,1462,226,123,15,0,80.07,12.38,6.74,1060,144,81,10,0,81.85,11.12,6.25,national
2025,MN,27111,Otter Tail,1793,1242,219,12.21,730,663,400,40.71,36.98,1465,170,146,12,0,81.71,9.48,8.14,1070,88,75,9,0,86.15,7.09,6.04,national
2025,MN,27059,Isanti,1898,1189,321,16.91,800,577,521,42.15,30.4,1482,266,132,18,0,78.08,14.01,6.95,945,146,84,14,0,79.48,12.28,7.06,national
2025,MN,27013,Blue Earth,1610,1087,200,12.42,850,485,275,52.8,30.12,1271,179,156,4,0,78.94,11.12,9.69,878,109,96,4,0,80.77,10.03,8.83,national
2025,MN,27169,Winona,1393,1050,151,10.84,647,419,327,46.45,30.08,1253,99,36,5,0,89.95,7.11,2.58,977,49,19,5,0,93.05,4.67,1.81,national
2025,MN,27049,Goodhue,1446,998,181,12.52,696,466,284,48.13,32.23,1155,172,101,18,0,79.88,11.89,6.98,821,97,67,13,0,82.26,9.72,6.71,national
2025,MN,27061,Itasca,1538,998,234,15.21,598,509,431,38.88,33.09,1233,156,138,11,0,80.17,10.14,8.97,845,69,76,8,0,84.67,6.91,7.62,national
2025,MN,27017,Carlton,1366,912,186,13.62,582,446,338,42.61,32.65,1124,105,133,4,0,82.28,7.69,9.74,777,60,73,2,0,85.2,6.58,8.0,national
2025,MN,27009,,1323,863,213,16.1,677,409,237,51.17,30.91,1040,189,88,6,0,78.61,14.29,6.65,707,105,49,2,0,81.92,12.17,5.68,national
2025,MN,27095,Mille Lacs,1263,810,194,15.36,599,394,270,47.43,31.2,969,179,103,12,0,76.72,14.17,8.16,652,96,53,9,0,80.49,11.85,6.54,national
