lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,florida_originations,total_originations,priority_match,notes
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,curated_lei_public_nmls,49897,227778,high,UWM / United Shore; dominant FL wholesale volume; linked to directory slug united-wholesale-mortgage
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,curated_lei_public_nmls,31530,214500,high,Formerly Quicken Loans; linked to directory slug rocket-mortgage
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,curated_lei_public_nmls,11987,67285,high,National retail/correspondence originator; linked to directory slug freedom-mortgage
5493001SXWZ4OFP8Z903,"CrossCountry Mortgage, LLC",3029,crosscountry-mortgage-west-valley,CrossCountry Mortgage (West Valley),high,curated_lei+directory_name,11582,47561,high,Matches directory CrossCountry West Valley branch family; directory score=0.94; company_nmls_ref=3029
549300H3IZO24NSOO931,"loanDepot.com, LLC",174457,loandepot,"loanDepot.com, LLC",high,curated_lei_public_nmls,10692,40735,high,loanDepot; linked to directory slug loandepot
RVDPPPGHCGZ40J4VQ731,Fairway Independent Mortgage Corporation,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage — Augusta (Sheppard Team),high,curated_lei+directory_name,9704,52420,high,Company NMLS 1702 (branch NMLS differ in directory); directory score=0.94; company_nmls_ref=1702
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union (Jacksonville Area),high,curated_lei+directory_name,8416,39919,high,Matches directory Navy Federal Jacksonville Area; directory score=0.94; company_nmls_ref=399807
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,curated_lei_public_nmls,7938,58449,high,Guaranteed Rate; linked to directory slug guaranteed-rate
549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,curated_lei_public_nmls,7460,49757,high,PennyMac; linked to directory slug pennymac
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,curated_lei_public_nmls,6131,52360,high,Chase mortgage originations; linked to directory slug jpmorgan-chase-bank
